번호,등록번호,서명,저자,서명권차,총서명,저자기호,별치기호,분류기호,청구권차,복본기호,ISBN,딸림자료,출판사,출판년도,발행지,페이지,크기,가격,등록일
1542,LHCGSL01542,"디지털 교육의 이해  = ,Understanding of digital education","정제영,계보경,김갑수,박보람,박휴용,전우천,정영식,조헌국,최숙영,하민수",,,정74ㄷ,,373.33,,,9791165199951,,박영story :피와이메이트,2024,서울:,"ix, 302 p.:",25 cm,\20000,구매
1543,LHCGSL01543,견고한 데이터 엔지니어링,"조 라이스,맷 하우슬리,옮긴이: 김인범",,,조292ㄱ,,005.7,,,9791169211222,,한빛미디어,2023,서울:,552 p.:,24 cm,\38000,구매
1544,LHCGSL01544,내가 내 이야기를 시작했을 때  : 여성의 자기 서사,"김원,김정경,노지승,장영은,조혜진,하인혜,홍인숙 지음",,,김66ㄴ,,337.1,05,,9788964374436,,후마니타스,2023,서울:,288 p.:,23 cm,\17000,구매
1545,LHCGSL01545,"과잉 히스테리 사회,  단독성들의 사회  : 21세기 경제,  기술,  정치,  노동,  mz세대,  라이프스타일,  문화의 숨은 퍼즐","안드레아스 레크비츠 ,윤재왕 옮김",,,안27ㄱ,,330.9,,,9788955594447,,새물결,2023,서울:,672 p.:,21 cm,\34000,구매
1546,LHCGSL01546,바이오 의약  : 기초부터 개발까지,오승호 역,,,오57ㅂ,,518.44,,,9791191489781,,신일서적,2023,서울:,"xii, 280 p.:",23 cm,\25000,구매
1547,LHCGSL01547,뮤지엄 미술치료  : 미술관과 박물관이 품은 치유의 힘,"미트라 레이하니 가딤,로렌 도허티 엮음,캐롤린 브라운 트리던,애슐리 하트만,페이지 셰인버그,캐시 덤라오,미트라 레이하니 가딤,미셸 로페즈 토레스,비다 사바기,사라 푸스티,앨리스 가필드,레이첼 십스,스티븐 레가리,클로에 헤이워드,마리 클라팟,로렌 도허티 지음,주하나 옮김",,,미887ㅁ,,600.18,,,9791168232143,,안그라픽스,2023,파주:,356 p.:,21 cm,\23000,구매
1548,LHCGSL01548,"(Do it!) 데이터 과학자를 위한 실전 머신러닝  = ,Do it! hands-on machine learning for data scientists",배기웅 지음,,,배18ㄷ,,004.73,,,9791163034964,,이지스퍼블리싱,2023,서울:,415 p.:,26 cm,\30000,구매
1549,LHCGSL01549,동조하기,"캐스 R. 선스타인 지음,고기탁 옮김",,,캐57ㄷ,,331.13,,,9788932923871,,열린책들,2023,파주:,253 p.:,18 cm,\18000,구매
1550,LHCGSL01550,타격에 관한 나의 생각들  : 김태균 야구 이야기  : 0,김태균,4초 승부에서 이기는 기술,,김883ㅌ,,695.7,,,9791169780230,,BS(브레인스토어),2024,서울:,206 p.:,23 cm,\18500,구매
1551,LHCGSL01551,"가짜 사랑 권하는 사회 : 진짜 사랑을 잊은 한국 사회,  더 나은 미래로 어떻게 나아갈 것인가?",김태형 지음,,,김883ㄱ,,331.1,,,9791191842593,,갈매나무,2024,고양:,251 p.:,21 cm,\17500,구매
1552,LHCGSL01552,정상이라는 환상  : 인간성을 외면한 물질주의 사회의 모순과 치유,"가보 마테,대니얼 마테 지음,조용빈 옮김",,,가45ㅈ,,185.3,,,9791157847273,,한빛비즈,2024,서울:,603 p.:,23 cm,\37000,구매
1553,LHCGSL01553,(CIA 분석가가 알려 주는) 가짜 뉴스의 모든 것,"신디 L. 오티스 지음,박중서 옮김",,,신28ㄱ,,070.42,,,9791192953076,,원더박스,2024,서울:,414 p.:,23 cm,\23000,구매
1554,LHCGSL01554,"전시디자인,  미술의 발견 : 작품은 어떻게 스토리가 되는가",김용주 지음,,,김65ㅈ,,606.3,,,9791193193020,,소동,2024,파주:,319p.:,22cm,\24000,구매
1555,LHCGSL01555,"포르쉐를 타다,  오타니처럼  : 덕질에 빠진 이 부장 이야기",이재익 지음,,,이73ㅍ,,695.704,,,9791198312112,,도도서가,2023,서울:,240 p.:,21 cm,\18500,구매
1556,LHCGSL01556,리더의 언어사전,김동훈 지음,,,김25ㄹ,,325.24,,,9788937427848,,민음사,2025,서울:,357p.:,21cm,\18000,구매
1557,LHCGSL01557,범죄사회  : 안전한 삶을 위해 알아야 할 범죄의 모든 것,정재민,,,정73ㅂ,,364.4,,,9788936480172,,창비,2024,파주:,299 p.:,21 cm,\18000,구매
1558,LHCGSL01558,옥시토신 이야기 : 몸과 마음을 아우르는 특별한 치유의 힘,전용관 지음,,,전65ㅇ,,517.34,,,9791192549323,,피톤치드,2025,부천:,271 p.:,23 cm,\18500,구매
1559,LHCGSL01559,한국인의 마음속엔 우리가 있다,김태형 지음,,,김883ㅎ,,182.671,,,9791192445359,,온더페이지,2025,서울:,287p.:,23cm,\17000,구매
1560,LHCGSL01560,좋은 문화행정이란 무엇인가,장석류 지음,,,장54ㅈ,,600.15,,,9791198318015,,사과나무미디어,2024,서울:,268p.:,23cm,\19800,구매
1561,LHCGSL01561,옷을 입다 패션을 만들다  : 패션 디자이너의 특별한 옷 이야기,정연이 지음,,,정64ㅇ,,592.01,,,9788962632699,,에코리브르,2024,서울:,288 p.:,22 cm,\19500,구매
1562,LHCGSL01562,카이스트 미래를 말하다,카이스트 문술미래전략대학원 10주년 출판위원회 지음,,,카68ㅋ,,331.544,,,9791193205112,,광문각출판미디어,2023,서울:,352 p.:,22 cm,\18000,구매
1563,LHCGSL01563,당신의 언어 나이는 몇 살입니까?,이미숙 지음,,,이38ㄷ,,512.516,,,9791193027110,,남해의봄날,2025,통영:,331p.:,20cm,\19000,구매
1564,LHCGSL01564,"르네상스 워커스  = ,Renaissance's workers  : 코로나 이후,  우리는 어떻게 일을 해야 하는가?",신인철 지음,,,신68ㄹ,,321.97,,,9791189249762,,빈티지하우스,2023,서울:,428 p.:,21 cm,\19800,구매
1565,LHCGSL01565,돈의 권력  : 화폐의 힘이 만들어낸 승자독식의 세계,"폴 시어드,옮긴이: 이정훈",,,폴58ㄷ,,327.2,,,9791130651903,,다산북스,2024,파주:,387 p.:,23 cm,\25000,구매
1566,LHCGSL01566,"발레,  무도에의 권유",이단비 지음,,,이22ㅂ,,685.5,,,9791192512358,,클,2025,서울:,368p.:,20cm,\22000,구매
1567,LHCGSL01567,"투게더  = ,Together  : 공동체 의식에 대한 조금 색다른 접근","울리히 슈나벨 지음,김현정 옮김",,,울298ㅌ,,331.1,,,9791191754223,,디 이니셔티브,2024,서울:,367 p.:,22 cm,\20000,구매
1568,LHCGSL01568,박원규 전각을 말하다,"박원규,김정환",,,박66ㅂ,,628,,,9788935678525,,한길사,2023,서울:,445 p.:,20 cm,\35000,구매
1569,LHCGSL01569,경제머리가 필요한 순간,한진수 지음,,,한78ㄱ,,320.04,,,9788935214525,,청림,2025,서울:,351p.:,21cm,\18000,구매
1570,LHCGSL01570,당뇨병의 정석,대한당뇨병학회 지음,,,대92ㄷ,,513.46,,,9791158464035,,비타북스,2025,서울:,315p.:,23cm,\18000,구매
1571,LHCGSL01571,(교사 상처를 치유하는) 교사를 위한 회복적 생활,송주미 지음,,,송76ㄱ,,370.18,,,9791191724424,,교육과실천,2023,서울:,220 p.:,23 cm,\17500,구매
1572,LHCGSL01572,다시 읽는 명저 : 우리가 어디서 와서 어디로 가고 있는지를 알려주는 서사에 충실한 고전,홍영식 외 지음,,,홍64ㄷ,,001.3,,,9788970871509,,미래사,2023,서울:,483 p.:,21 cm,\22000,구매
1573,LHCGSL01573,우리 아이가 ADHD라고요?  : 우당탕탕 아이를 키우는 교사 엄마의 좌충우돌 육아 가이드,이사비나 지음,,,이52ㅇ,,598.16,,,9791189249847,,빈티지하우스,2025,서울:,312 p.:,23 cm,\19800,구매
1574,LHCGSL01574,예술가의 연인들,이태주 지음,,푸른교양선,푸297,,600.04,,,9791192149400,,푸른생각,2025,서울:,320p.:,21cm,\27000,구매
1575,LHCGSL01575,"아이를 움직이는 한 줄 고전의 힘,전자자료  : 아이가 내 마음 같지 않을 때",이은정 지음,,바른 교육 시리즈,바297,,029.8,34,,9791168222199,,서사원,2024,서울:,,,\28800,구매
1576,LHCGSL01576,바칼로레아 철학 수업 : 논리적 사고를 위한 프랑스식 인문학 공부,"사카모토 타카시 지음,곽현아 옮김",,,사872ㅂ,,107,,,9791193217405,,유엑스리뷰,2024,서울:,212 p.:,23 cm,\20000,구매
1577,LHCGSL01577,빨대사회 : 사기범죄 천국의 도래,모성준 지음,,,모54ㅃ,,334.24,,,9791130346694,,박영사,2024,서울:,492 p.:,23cm,\18000,구매
1578,LHCGSL01578,어른을 키우는 어른을 위한 심리학,하지현 지음,,,하78ㅇ,,189.24,,,9791167373540,,은행나무,2023,서울:,281 p.:,21 cm,\18000,구매
1579,LHCGSL01579,대한민국 미래 교육 트렌드  : 36명의 현장 교육전문가들이 제시하는 미래 교육의 전망과 해법,"미래 교육 집필팀,하요상,이준권,김태훈,김환,유수근,하유정,이상학,배혜림,이보람,김선,이윤정,홍성남,류성창,유경옥,박은주,김인의,김민철,조재범,김규섭,윤지선,송은정,강경욱,허준석,김설훈,신혜영,김예슬,이진명,김성효,함예슬,손민지,조안나,백다은,최교진,안수영,양혜원,심창용,현장교사정책연구회",,,미293ㄷ,,371,,,9788958079804,,뜨인돌(뜨인돌출판),2023,파주:,392 p.:,23 cm,\22000,구매
1580,LHCGSL01580,(Dr,이상혁 지음,"Lee의) 논리적 말하기  = ,Logical speaking  : 발표와 토론",누구나 쉽게 이해하는 Dr.Lee 시리즈,누16,,802.5,,,9791155581179,,연암사,2023,서울:,231 p.:,22 cm,\17500,구매
1581,LHCGSL01581,미래 관찰자의 살아 있는 아이디어,서울대학교 국가미래전략원 편저,,,서66ㅁ,,331.5412,,,9791192730905,,포르체,2025,서울:,467p.:,23cm,\21000,구매
1582,LHCGSL01582,내 가게를 위한 브랜딩은 달라야 합니다,정나영 지음,,,정192ㄴ,,325.5,,,9788935214204,,청림,2025,서울:,350p.:,21cm,\18000,구매
1583,LHCGSL01583,"매일 숙면,전자자료  : 못 자는 이유부터 잘 자는 방법까지",주은연 지음,,,주67ㅁ,,513.826,,,9791191104882,,유노라이프 :북틀제작,2024,서울:,,,\27000,구매
1584,LHCGSL01584,실패하는 비즈니스에는 이유가 있다,"이홍,전상길 공 지음",,,이95ㅅ,,325.1,,,9788976331267,,삼성글로벌리서치,2025,서울:,304p.:,21cm,\19000,구매
